City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Clyde,US,41.3042,-82.9752,35.56,77,99,6.96,overcast clouds
305,Porto Torres,IT,40.835,8.3972,46.58,79,5,4.12,clear sky
306,Korla,CN,41.7597,86.1469,28.4,28,0,8.59,clear sky
307,Charters Towers,AU,-20.1,146.2667,89.1,27,3,11.77,clear sky
308,Bolshoye Nagatkino,RU,54.5196,47.9679,28.83,87,99,12.24,overcast clouds
309,Sisimiut,GL,66.9395,-53.6735,16.92,61,100,13.4,overcast clouds
310,Merrill,US,45.1805,-89.6835,33.57,63,1,5.75,clear sky
311,Vardo,NO,70.3705,31.1107,35.55,92,100,22.12,overcast clouds
312,San Carlos De Bariloche,AR,-41.1456,-71.3082,60.55,41,0,14.97,clear sky
313,Golubitskaya,RU,45.3222,37.2822,37.81,85,70,10.58,broken clouds
314,Camopi,GF,3.1655,-52.3158,72.72,99,35,2.19,scattered clouds
315,Ancud,CL,-41.8697,-73.8203,51.33,93,3,1.9,clear sky
316,Saint Anthony,US,45.0205,-93.218,36.55,62,20,5.99,few clouds
317,Shunyi,CN,40.125,116.6453,40.95,65,0,4.47,clear sky
318,Ballachulish,GB,56.6774,-5.1308,52.41,91,100,3.0,overcast clouds
319,Bossangoa,CF,6.4926,17.4552,72.9,70,51,3.65,broken clouds
320,Isangel,VU,-19.55,169.2667,82.51,78,90,0.0,overcast clouds
321,Licata,IT,37.1071,13.9461,58.55,77,0,6.11,clear sky
322,Polaniec,PL,50.4332,21.2812,51.78,78,74,22.64,broken clouds
323,Hualmay,PE,-11.0964,-77.6139,64.81,84,100,10.69,overcast clouds
324,Ilulissat,GL,69.2167,-51.1,14.02,41,100,3.44,overcast clouds
325,Xunchang,CN,28.4543,104.715,54.63,82,100,1.14,overcast clouds
326,Woodward,US,36.4337,-99.3904,54.63,41,1,13.8,clear sky
327,Kluang,MY,2.0251,103.3328,79.16,88,100,2.42,moderate rain
328,Sirjan,IR,29.452,55.6814,48.81,65,5,5.44,clear sky
329,Coos Bay,US,43.3665,-124.2179,49.01,95,1,4.61,clear sky
330,Klaksvik,FO,62.2266,-6.589,43.72,75,100,13.15,overcast clouds
331,Vila Velha,BR,-20.3297,-40.2925,75.15,94,75,8.99,light intensity drizzle
332,Palasa,IN,18.7667,84.4167,77.18,87,98,6.91,overcast clouds
333,Russell,US,32.3502,-85.1999,51.4,75,1,0.0,clear sky
334,Tessalit,ML,20.1986,1.0114,71.2,17,57,10.25,broken clouds
335,Muzhi,RU,65.3667,64.6667,9.46,95,100,9.44,light snow
336,Huilong,CN,31.8111,121.655,71.04,58,100,11.68,overcast clouds
337,Liepaja,LV,56.5419,21.0367,50.05,62,20,19.57,few clouds
338,Nome,US,64.5011,-165.4064,6.87,48,1,5.75,clear sky
339,Bac Lieu,VN,9.285,105.7244,83.14,77,89,10.69,overcast clouds
340,Leh,IN,34.1667,77.5833,15.76,58,0,3.15,clear sky
341,Bengkulu,ID,-3.8004,102.2655,81.52,70,100,4.03,overcast clouds
342,Salinas,US,36.6777,-121.6555,63.01,87,90,8.05,mist
343,Veshkayma,RU,54.05,47.1333,27.41,88,100,10.87,overcast clouds
344,Tabory,RU,58.5198,64.5495,25.21,82,100,10.47,overcast clouds
345,Nanhai,CN,30.1282,111.7784,59.29,72,100,7.45,overcast clouds
